RA_ICRS,DE_ICRS,Gmag
13.12312011946,39.02978759944,11.47878
13.11135570818,39.03311283561,14.615612
13.07327904485,39.01319034834,13.40777
13.07349055497,39.01283666318,15.226229
13.0794450492,39.0209943241,15.649899
13.05648973533,39.0571041156,15.529148
13.07405057914,39.05316036933,15.214364
13.03086747028,39.0661656861,15.443755
13.0220727017,39.06778377438,11.827593
13.06282954592,39.08317119692,13.120658
13.17072201691,39.10350010503,15.544399
13.16736357098,39.12873088687,15.151262
13.18149622799,39.11858779167,13.456182
13.23894756195,39.12986536505,13.121887
13.25277699466,39.14546795444,14.421588
13.26816220482,39.15836394499,8.140905
13.14110263612,39.11967147058,15.430505
13.13589851668,39.13184641458,15.847363
13.13936962447,39.13846227992,15.472514
13.19558219166,39.19056693275,15.343241
13.17772569735,39.17941719209,13.157136
13.18947646888,39.19562766204,13.179366
13.20265578893,39.19366037332,15.775514
13.21236598241,39.22380097999,14.073918
13.16101576188,39.22349089051,14.659193
13.37559320162,39.09934311761,15.1177
13.38270568142,39.10745367705,15.659678
13.34016344198,39.09554162776,15.436361
13.36668527114,39.14862331501,13.230532
13.40589972699,39.12411599466,15.121753
13.38122301154,39.14511391702,14.269382
13.40305166122,39.17006751739,14.707366
13.3982341556,39.18844587738,15.4789
13.31626888914,39.12608022663,14.809608
13.31730973203,39.14330897993,15.204198
13.33100794912,39.14472035856,15.934863
13.28834743314,39.17115145033,14.074111
13.31095784551,39.17586943362,14.783268
13.32373485507,39.1865720057,15.148681
13.3667615154,39.20539821407,15.995275
13.38382572719,39.21352034192,14.884806
13.45573708331,39.17946266523,14.40826
13.45191089424,39.18977113206,15.318457
13.44009276873,39.1792190039,14.22113
13.44371539983,39.21493670514,15.681804
13.44531006841,39.23457729395,14.111606
13.43304243706,39.23613972863,11.681475
13.45640182696,39.26027024823,12.728295
13.40912059889,39.23474832008,15.568031
13.39283147734,39.26541936646,13.898667
13.3845613084,39.27191199008,15.198944
13.46695655499,39.33095675588,15.225035
13.27793917407,39.18896615474,15.622779
13.25419550876,39.18166452837,8.376787
13.26721260587,39.20030574761,15.790628
13.28822100422,39.20490320574,15.644987
13.24657292231,39.22302624263,15.989284
13.31795277463,39.22227255364,14.260972
13.31412101171,39.22442793075,15.419667
13.30645976941,39.23757448788,14.766607
13.30273392974,39.23773704542,15.563026
13.31130594707,39.24373019685,15.755697
13.3223454925,39.2527591991,15.470601
13.29865038819,39.25004867942,15.531751
13.29158060035,39.26853971951,14.832087
13.28425084003,39.26944081254,13.543102
13.3235880055,39.28639484948,14.485509
13.23969798329,39.2467626196,10.736648
13.23146757077,39.2560672651,14.642704
13.22738208443,39.27084524969,15.00725
13.21787202943,39.27204268882,15.184549
13.2275099087,39.30502824684,15.47366
13.23793983603,39.29930904572,15.614214
13.3816642112,39.30149182613,15.711015
13.33396439028,39.29815464533,9.856804
13.3478348882,39.31710392356,15.755632
13.37482382919,39.33306793709,12.954536
13.35654090623,39.3502970073,13.156176
13.43223629849,39.36819907297,15.850591
13.37730699741,39.35109424368,14.316816
13.30788082794,39.31534681338,15.872714
13.30921080369,39.37299065031,15.307591
13.30786610415,39.38624820623,15.467168
13.31420909544,39.39972742676,11.092395
13.36363826041,39.3642552062,15.163667
13.39064607155,39.40646903837,15.396256
13.33233259617,39.39334222707,15.229168
13.34213564673,39.40715984951,13.537202
12.1219844794,38.47993048988,15.428324
11.81179353004,38.40425134781,14.681737
11.8244599387,38.41350993652,15.497605
11.8232956373,38.42752250809,12.588415
11.74861718433,38.40753938871,14.547726
11.7132619446,38.3780913024,15.11762
