#Table1
class,z,dered_r
GALAXY,0.1414595,16.70393
GALAXY,0.1415308,16.70393
GALAXY,0.1476748,17.03278
GALAXY,0.09059294,17.40018
GALAXY,0.07141443,17.22959
GALAXY,0.0713802,17.22959
GALAXY,0.460163,18.82591
GALAXY,0.06653853,17.66716
GALAXY,0.06655016,17.66716
GALAXY,0.4057267,19.27907
GALAXY,0.3694264,18.81981
GALAXY,0.1185693,17.36825
GALAXY,0.09067135,17.40018
GALAXY,0.08816088,17.26817
GALAXY,0.118615,17.36825
GALAXY,0.1504829,17.23544
GALAXY,0.1315616,17.53995
GALAXY,0.08970696,16.78857
QSO,1.162435,18.40438
GALAXY,0.1510908,17.35665
GALAXY,0.08972443,16.78857
QSO,1.163653,18.40438
GALAXY,0.551491,
GALAXY,0.1504413,17.23544
GALAXY,0.1295754,17.56552
GALAXY,0.1296703,17.56552
GALAXY,0.1475723,17.03278
GALAXY,0.03458004,
GALAXY,0.369527,18.81981
GALAXY,0.1315637,17.53995
GALAXY,0.4059377,19.27907
GALAXY,0.151113,17.35665
GALAXY,0.1426113,17.64615
GALAXY,0.1532182,17.46969
GALAXY,0.4836299,19.69675
GALAXY,0.05195406,16.50714
GALAXY,0.05194972,16.50714
GALAXY,0.1221713,17.71338
QSO,0.6514288,19.0747
GALAXY,0.09103485,17.00488
GALAXY,0.1223209,17.48316
GALAXY,0.4375106,19.34305
GALAXY,0.1221846,17.71338
GALAXY,0.2048142,17.61126
QSO,5.219707,
GALAXY,0.1204287,17.44714
GALAXY,0.2047401,17.61126
GALAXY,0.1223888,17.48316
GALAXY,0.1482354,17.6565
GALAXY,0.1202934,16.67443
GALAXY,0.2211432,17.48587
GALAXY,0.4848128,19.34527
GALAXY,0.1202443,16.67443
GALAXY,0.221124,17.48587
GALAXY,0.06232524,17.53929
GALAXY,0.1235886,17.24821
GALAXY,0.1235509,17.24821
QSO,0.6515839,19.0747
GALAXY,0.3368229,18.43402
GALAXY,0.09097773,17.00488
GALAXY,0.7282416,
GALAXY,0.3366424,18.43402
GALAXY,0.1533533,17.46969
GALAXY,0.4847799,19.34527
GALAXY,0.1482937,17.6565
GALAXY,0.8685948,19.34305
GALAXY,0.06237372,17.53929
GALAXY,0.1204324,17.44714
GALAXY,0.4833668,19.69675
QSO,0.4446337,18.01535
QSO,1.961112,18.91603
QSO,1.568235,20.12073
QSO,1.570566,20.12073
GALAXY,0.08886714,17.71271
GALAXY,0.09888644,17.44437
